,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,sentiment
1,3887,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEYVqmA_UTzh11Quy1UizsfG2el1gOsDNgU59YLrvhR_gn6ekkBR6HJv-93XoQRtLDGtt2JL3jk8a7zh_I,Good,3,2,Ijeoma Happiness,,85.0.4183.127,19/12/20,com.android.chrome,+
101,4113,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGam4O8tkplGZra_QgwRA5DaQMrhf5lXRq56BIaXtzvGBhkPNA_koAhjIkC8B1KXViBKVCq9l3T1WT5w60,Good,1,0,Sohail Soomro,,74.0.3729.136,21/12/20,com.android.chrome,+
158,4143,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGs_j9GCuk-trSJbRPlg6IkMe-qW2E4y3w_JWVB13VsHf-cG2kgt0BntS_WQreeBro6hE8wqN0oWHDpBgs,Good,1,0,Md Rubel khan,,,21/12/20,com.android.chrome,+
160,4145,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGiu1SzlBRcnhpsCAM6TgDq2Kcz-HBLPJMNXW3oTT0xSjvTSHNfuKCA_0VyNaeTo58WvnsWFGozyE_ZDNI,Not bad,3,0,Yibo Yang,,87.0.4280.101,21/12/20,com.android.chrome,+
176,4162,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF1_Izapi8TakIkLJvWVJoGoREcO1wD8VmXhVTcIGeOShDbQ-TeyA9fnOC9rbEv6EHHC_loscMsTun73IA,Nice,3,0,Tridev Namdev,,87.0.4280.101,21/12/20,com.android.chrome,+
178,4164,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHMUdmvpfOjE3rWJnbguJVmxj2W3KoHO-TM6iK3bBCfWfImpPj6VdWVPahAHKO60ABPiDv9IgTNU8xFdpA,Help,2,0,George & Jodie Wood,,83.0.4103.96,21/12/20,com.android.chrome,+
188,4174,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHySbqoSSeOZuWCn_L3NYZtCaya7kHDWvAz3z_zgBpri-XVwW-NieJJ3zG4VST-YQqlKGG6Z6DyAZNZ2N8,Good,3,0,Mahabir Kamboj,,64.0.3282.137,21/12/20,com.android.chrome,+
291,5251,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFVZ1m9gQyQTGAzgBtIGKGC1jVbT-3-3LydI_XSIQB0HIqd95vNpLwWBYhxvIYfpuLhSP5wvl2shucWeus,Ok,1,0,Rajesh Prabhu,,76.0.3809.111,21/12/20,com.android.chrome,+
310,5842,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEYlspxjUosomPFeodvhH76GQusL9FHFsp-44k7SguXrEUckePcebnyP8mUQA6rZGX5ayXz4U0gz_CW2sc,Best,1,0,Vasava Govindbhai,,67.0.3396.87,22/12/20,com.android.chrome,+
312,5844,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGf1DHgLVB8MYo_AMj9JCBpBp31NGREk-lSsvt5Zv0vXM5vJGNXLe77wGumcF01MqgLSvEA_eKHoM6E5PY,Good,1,0,Prem Kumar,,80.0.3987.99,22/12/20,com.android.chrome,+
